alsa-plugins 1:1.2.7.1-2
amd-ucode 20240510.b9d2bf23-1
an-anime-game-launcher-bin 3.9.6-1
ark 24.02.2-1
base 3-2
base-devel 1-1
binder_linux-dkms 6.8-1
blueman 2.4.1-2
bluez 5.76-1
bluez-utils 5.76-1
brightnessctl 0.5.1-2
cliphist 1:0.5.0-1
dconf 0.40.0-2
discord 0.0.54-1
dmenu 5.3-3
dnsmasq 2.90-1
dolphin 24.02.2-2
dunst 1.11.0-1
dwm 6.4-2
dwm-debug 6.4-2
efibootmgr 18-3
eza 0.18.16-1
fastfetch 2.13.2-1
feh 3.10.2-1
ffmpegthumbs 24.02.2-1
firefox 126.0-1
freetype2 2.13.2-1
fuse2 2.9.9-4
gdb 14.2-2
giflib 5.2.2-1
git 2.45.1-1
grimblast-git r103.33b3835-1
grub 2:2.12-2
gst-plugin-pipewire 1:1.0.6-1
gtk3 1:3.24.42-1
hyde-cli-git v0.5.2.r16.225bc0d-1
hyprland 0.40.0-1
hyprpicker 0.2.0-2
ibus-bamboo 0.8.3_RC6-1
imagemagick 7.1.1.32-1
jq 1.7.1-1
kde-cli-tools 6.0.4-1
kitty 0.33.1-4
kvantum 1.1.1-1
kvantum-qt5 1.1.1-1
lf 31-1
lib32-alsa-lib 1.2.11-1
lib32-alsa-plugins 1.2.7.1-2
lib32-giflib 5.2.2-1
lib32-gnutls 3.8.5-1
lib32-gst-plugins-base-libs 1.24.3-1
lib32-gtk3 1:3.24.42-1
lib32-libgcrypt 1.10.3-1
lib32-libgpg-error 1.49-1
lib32-libldap 2.6.7-1
lib32-libpng 1.6.43-1
lib32-libpulse 17.0-1
lib32-libva 2.21.0-1
lib32-libxcomposite 0.4.6-1
lib32-libxinerama 1.1.5-1
lib32-libxslt 1.1.39-1
lib32-mesa 1:24.0.7-3
lib32-mpg123 1.32.6-1
lib32-ncurses 6.5-1
lib32-nvidia-utils 550.78-1
lib32-ocl-icd 2.3.2-1
lib32-openal 1.23.1-1
lib32-sqlite 3.45.3-1
lib32-v4l-utils 1.26.1-1
lib32-vulkan-icd-loader 1.3.279-1
lib32-vulkan-radeon 1:24.0.7-3
libjpeg-turbo 3.0.3-1
libpng 1.6.43-1
libpulse 17.0-3
libva 2.21.0-1
libxcomposite 0.4.6-1
libxft 2.3.8-1
libxinerama 1.1.5-1
libxslt 1.1.39-2
linux 6.9.1.arch1-2
linux-firmware 20240510.b9d2bf23-1
linux-headers 6.9.1.arch1-2
linux-wifi-hotspot 4.7.1-1
linux-zen 6.9.1.zen1-2
linux-zen-headers 6.9.1.zen1-2
lutris 0.5.17-4
lzip 1.24.1-1
microsoft-edge-stable-bin 125.0.2535.51-1
mpv 1:0.38.0-4
neovim 0.10.0-2
network-manager-applet 1.36.0-1
networkmanager 1.46.0-2
nm-vpngate-git r137.1a86c44-1
noto-fonts-emoji 1:2.042-1
nvidia-dkms 550.78-1
nvidia-settings 550.78-1
nvidia-utils 550.78-1
nwg-look 0.2.7-1
ocl-icd 2.3.2-1
oh-my-zsh-git r7245.1b29fd3a4-1
openal 1.23.1-1
opencl-nvidia 550.78-1
openssh 9.7p1-2
os-prober 1.81-1
pacman-contrib 1.10.6-1
pamixer 1.6-3
parallel 20240322-1
paru 2.0.3-1
paru-debug 2.0.3-1
pavucontrol 1:6.0-1
pipewire 1:1.0.6-1
pipewire-alsa 1:1.0.6-1
